Class: 3, Confidence: 0.97, Box: (321, 180, 27, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (420, 176, 24, 23), Color: Green
Class: Reverse, Confidence: 0.90, Box: (219, 175, 24, 26), Color: Red
Class: 3, Confidence: 0.96, Box: (320, 182, 26, 25), Color: Red
Class: Reverse, Confidence: 0.94, Box: (217, 180, 24, 26), Color: Red
Class: 7, Confidence: 0.92, Box: (418, 177, 24, 24), Color: Green
Class: 3, Confidence: 0.97, Box: (326, 184, 26, 26), Color: Red
Class: Reverse, Confidence: 0.95, Box: (226, 183, 23, 26), Color: Red
Class: 7, Confidence: 0.87, Box: (420, 179, 29, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (325, 184, 25, 26), Color: Red
Class: Reverse, Confidence: 0.95, Box: (224, 183, 24, 25), Color: Red
Class: 7, Confidence: 0.93, Box: (419, 179, 28, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (326, 183, 26, 26), Color: Red
Class: Reverse, Confidence: 0.95, Box: (225, 185, 26, 19), Color: Red
Class: 7, Confidence: 0.91, Box: (420, 178, 28, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (325, 183, 27, 25), Color: Red
Class: Reverse, Confidence: 0.95, Box: (226, 182, 23, 26), Color: Red
Class: 7, Confidence: 0.91, Box: (422, 177, 24, 24), Color: Green
Class: 3, Confidence: 0.96, Box: (326, 180, 26, 26), Color: Red
Class: Reverse, Confidence: 0.95, Box: (225, 180, 23, 26), Color: Red
Class: 7, Confidence: 0.91, Box: (422, 174, 24, 24), Color: Green
Class: 3, Confidence: 0.97, Box: (327, 180, 26, 26), Color: Red
Class: 7, Confidence: 0.93, Box: (422, 174, 25, 24), Color: Green
Class: Reverse, Confidence: 0.93, Box: (227, 180, 24, 26), Color: Red
Class: 3, Confidence: 0.98, Box: (328, 178, 27, 26), Color: Red
Class: Reverse, Confidence: 0.94, Box: (228, 176, 23, 27), Color: Red
Class: 7, Confidence: 0.92, Box: (425, 172, 27, 21), Color: Green
Class: 3, Confidence: 0.97, Box: (330, 176, 26, 26), Color: Red
Class: Reverse, Confidence: 0.95, Box: (229, 175, 23, 27), Color: Red
Class: 7, Confidence: 0.93, Box: (426, 171, 27, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (330, 176, 26, 26), Color: Red
